Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,14163,1991,1,15.1
IDCJAC0003,14163,1991,2,12.8
IDCJAC0003,14163,1991,3,25.1
IDCJAC0003,14163,1991,4,21.2
IDCJAC0003,14163,1991,5,21.5
IDCJAC0003,14163,1991,6,18.7
IDCJAC0003,14163,1991,7,18.9
IDCJAC0003,14163,1991,8,21.6
IDCJAC0003,14163,1991,9,21.9
IDCJAC0003,14163,1991,10,25.7
IDCJAC0003,14163,1991,11,22.1
IDCJAC0003,14163,1991,12,26.4
IDCJAC0003,14163,1992,1,21.8
IDCJAC0003,14163,1992,2,18.8
IDCJAC0003,14163,1992,3,23.2
IDCJAC0003,14163,1992,4,19.7
IDCJAC0003,14163,1992,5,19.1
IDCJAC0003,14163,1992,6,19.2
IDCJAC0003,14163,1992,7,19.8
IDCJAC0003,14163,1992,8,21.4
IDCJAC0003,14163,1992,9,20.7
IDCJAC0003,14163,1992,10,22.8
IDCJAC0003,14163,1992,11,22.8
IDCJAC0003,14163,1992,12,21.6
IDCJAC0003,14163,1993,1,19.2
IDCJAC0003,14163,1993,2,18.5
IDCJAC0003,14163,1993,3,22.1
IDCJAC0003,14163,1993,4,23.1
IDCJAC0003,14163,1993,5,20.3
IDCJAC0003,14163,1993,6,18.9
IDCJAC0003,14163,1993,7,18.4
IDCJAC0003,14163,1993,8,20.2
IDCJAC0003,14163,1993,9,21.3
IDCJAC0003,14163,1993,10,23.7
IDCJAC0003,14163,1993,11,22.6
IDCJAC0003,14163,1993,12,19.2
IDCJAC0003,14163,1994,1,23
IDCJAC0003,14163,1994,2,15.1
IDCJAC0003,14163,1994,3,22.8
IDCJAC0003,14163,1994,4,23.7
IDCJAC0003,14163,1994,5,20.6
IDCJAC0003,14163,1994,6,19.3
IDCJAC0003,14163,1994,7,20.5
IDCJAC0003,14163,1994,8,23.2
IDCJAC0003,14163,1994,9,23.1
IDCJAC0003,14163,1994,10,24.2
IDCJAC0003,14163,1994,11,24.2
IDCJAC0003,14163,1994,12,22.1
IDCJAC0003,14163,1995,1,16.1
IDCJAC0003,14163,1995,2,19.7
IDCJAC0003,14163,1995,3,17.5
