Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,087113,2023,01,01,27.2
IDCJAC0016,087113,2023,01,02,29.6
IDCJAC0016,087113,2023,01,03,19.8
IDCJAC0016,087113,2023,01,04,12.3
IDCJAC0016,087113,2023,01,05,29.9
IDCJAC0016,087113,2023,01,06,30.8
IDCJAC0016,087113,2023,01,07,31.7
IDCJAC0016,087113,2023,01,08,31.6
IDCJAC0016,087113,2023,01,09,30.2
IDCJAC0016,087113,2023,01,10,28.9
IDCJAC0016,087113,2023,01,11,30.7
IDCJAC0016,087113,2023,01,12,28.1
IDCJAC0016,087113,2023,01,13,27.2
IDCJAC0016,087113,2023,01,14,28.4
IDCJAC0016,087113,2023,01,15,20.4
IDCJAC0016,087113,2023,01,16,18.6
IDCJAC0016,087113,2023,01,17,24.3
IDCJAC0016,087113,2023,01,18,3.7
IDCJAC0016,087113,2023,01,19,17.5
IDCJAC0016,087113,2023,01,20,25.3
IDCJAC0016,087113,2023,01,21,27.6
IDCJAC0016,087113,2023,01,22,25.6
IDCJAC0016,087113,2023,01,23,27.3
IDCJAC0016,087113,2023,01,24,13.8
IDCJAC0016,087113,2023,01,25,26.7
IDCJAC0016,087113,2023,01,26,23.8
IDCJAC0016,087113,2023,01,27,29.7
IDCJAC0016,087113,2023,01,28,17.8
IDCJAC0016,087113,2023,01,29,6.4
IDCJAC0016,087113,2023,01,30,22.8
IDCJAC0016,087113,2023,01,31,25.4
IDCJAC0016,087113,2023,02,01,16.0
IDCJAC0016,087113,2023,02,02,12.7
IDCJAC0016,087113,2023,02,03,19.9
IDCJAC0016,087113,2023,02,04,21.7
IDCJAC0016,087113,2023,02,05,10.2
IDCJAC0016,087113,2023,02,06,22.1
IDCJAC0016,087113,2023,02,07,19.9
IDCJAC0016,087113,2023,02,08,22.5
IDCJAC0016,087113,2023,02,09,27.6
IDCJAC0016,087113,2023,02,10,25.3
IDCJAC0016,087113,2023,02,11,26.6
IDCJAC0016,087113,2023,02,12,20.8
IDCJAC0016,087113,2023,02,13,18.9
IDCJAC0016,087113,2023,02,14,24.7
IDCJAC0016,087113,2023,02,15,23.6
IDCJAC0016,087113,2023,02,16,23.3
IDCJAC0016,087113,2023,02,17,24.6
IDCJAC0016,087113,2023,02,18,23.5
IDCJAC0016,087113,2023,02,19,25.5
IDCJAC0016,087113,2023,02,20,25.3
IDCJAC0016,087113,2023,02,21,18.1
IDCJAC0016,087113,2023,02,22,24.3
IDCJAC0016,087113,2023,02,23,23.6
IDCJAC0016,087113,2023,02,24,24.2
IDCJAC0016,087113,2023,02,25,2.6
IDCJAC0016,087113,2023,02,26,18.7
IDCJAC0016,087113,2023,02,27,10.0
IDCJAC0016,087113,2023,02,28,8.5
IDCJAC0016,087113,2023,03,01,16.2
IDCJAC0016,087113,2023,03,02,11.2
IDCJAC0016,087113,2023,03,03,18.6
IDCJAC0016,087113,2023,03,04,14.1
IDCJAC0016,087113,2023,03,05,18.1
IDCJAC0016,087113,2023,03,06,20.7
