Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086018,2023,01,01,28.4
IDCJAC0016,086018,2023,01,02,24.1
IDCJAC0016,086018,2023,01,03,19.4
IDCJAC0016,086018,2023,01,04,12.7
IDCJAC0016,086018,2023,01,05,19.6
IDCJAC0016,086018,2023,01,06,31.4
IDCJAC0016,086018,2023,01,07,31.5
IDCJAC0016,086018,2023,01,08,31.7
IDCJAC0016,086018,2023,01,09,30.7
IDCJAC0016,086018,2023,01,10,23.2
IDCJAC0016,086018,2023,01,11,31.5
IDCJAC0016,086018,2023,01,12,23.3
IDCJAC0016,086018,2023,01,13,22.0
IDCJAC0016,086018,2023,01,14,30.3
IDCJAC0016,086018,2023,01,15,17.6
IDCJAC0016,086018,2023,01,16,22.3
IDCJAC0016,086018,2023,01,17,26.9
IDCJAC0016,086018,2023,01,18,4.0
IDCJAC0016,086018,2023,01,19,20.3
IDCJAC0016,086018,2023,01,20,29.5
IDCJAC0016,086018,2023,01,21,28.4
IDCJAC0016,086018,2023,01,22,26.2
IDCJAC0016,086018,2023,01,23,27.9
IDCJAC0016,086018,2023,01,24,12.9
IDCJAC0016,086018,2023,01,25,28.7
IDCJAC0016,086018,2023,01,26,25.7
IDCJAC0016,086018,2023,01,27,29.8
IDCJAC0016,086018,2023,01,28,16.4
IDCJAC0016,086018,2023,01,29,5.7
IDCJAC0016,086018,2023,01,30,15.3
IDCJAC0016,086018,2023,01,31,24.5
IDCJAC0016,086018,2023,02,01,18.3
IDCJAC0016,086018,2023,02,02,15.8
IDCJAC0016,086018,2023,02,03,14.7
IDCJAC0016,086018,2023,02,04,14.3
IDCJAC0016,086018,2023,02,05,15.2
IDCJAC0016,086018,2023,02,06,16.3
IDCJAC0016,086018,2023,02,07,22.0
IDCJAC0016,086018,2023,02,08,23.5
IDCJAC0016,086018,2023,02,09,27.6
IDCJAC0016,086018,2023,02,10,26.7
IDCJAC0016,086018,2023,02,11,27.2
IDCJAC0016,086018,2023,02,12,22.4
IDCJAC0016,086018,2023,02,13,16.0
IDCJAC0016,086018,2023,02,14,26.0
IDCJAC0016,086018,2023,02,15,21.6
IDCJAC0016,086018,2023,02,16,22.5
IDCJAC0016,086018,2023,02,17,21.7
IDCJAC0016,086018,2023,02,18,20.6
IDCJAC0016,086018,2023,02,19,24.9
IDCJAC0016,086018,2023,02,20,25.1
IDCJAC0016,086018,2023,02,21,19.6
IDCJAC0016,086018,2023,02,22,24.3
IDCJAC0016,086018,2023,02,23,23.5
IDCJAC0016,086018,2023,02,24,24.2
IDCJAC0016,086018,2023,02,25,3.1
IDCJAC0016,086018,2023,02,26,16.8
IDCJAC0016,086018,2023,02,27,10.7
IDCJAC0016,086018,2023,02,28,5.5
IDCJAC0016,086018,2023,03,01,19.7
IDCJAC0016,086018,2023,03,02,11.4
IDCJAC0016,086018,2023,03,03,21.2
IDCJAC0016,086018,2023,03,04,16.5
IDCJAC0016,086018,2023,03,05,19.1
IDCJAC0016,086018,2023,03,06,19.8
IDCJAC0016,086018,2023,03,07,16.3
IDCJAC0016,086018,2023,03,08,16.1
IDCJAC0016,086018,2023,03,09,15.5
IDCJAC0016,086018,2023,03,10,18.5
IDCJAC0016,086018,2023,03,11,21.6
IDCJAC0016,086018,2023,03,12,15.9
IDCJAC0016,086018,2023,03,13,21.1
IDCJAC0016,086018,2023,03,14,17.7
IDCJAC0016,086018,2023,03,15,16.4
IDCJAC0016,086018,2023,03,16,16.3
IDCJAC0016,086018,2023,03,17,20.1
IDCJAC0016,086018,2023,03,18,10.8
IDCJAC0016,086018,2023,03,19,6.2
IDCJAC0016,086018,2023,03,20,19.1
IDCJAC0016,086018,2023,03,21,5.8
IDCJAC0016,086018,2023,03,22,17.0
IDCJAC0016,086018,2023,03,23,14.5
IDCJAC0016,086018,2023,03,24,10.9
IDCJAC0016,086018,2023,03,25,14.0
IDCJAC0016,086018,2023,03,26,10.3
IDCJAC0016,086018,2023,03,27,5.0
IDCJAC0016,086018,2023,03,28,15.4
IDCJAC0016,086018,2023,03,29,8.3
IDCJAC0016,086018,2023,03,30,13.8
IDCJAC0016,086018,2023,03,31,12.9
IDCJAC0016,086018,2023,04,01,8.6
IDCJAC0016,086018,2023,04,02,16.3
IDCJAC0016,086018,2023,04,03,15.6
IDCJAC0016,086018,2023,04,04,16.1
IDCJAC0016,086018,2023,04,05,6.4
IDCJAC0016,086018,2023,04,06,12.6
IDCJAC0016,086018,2023,04,07,6.8
IDCJAC0016,086018,2023,04,08,9.9
IDCJAC0016,086018,2023,04,09,7.3
IDCJAC0016,086018,2023,04,10,7.6
IDCJAC0016,086018,2023,04,11,13.5
IDCJAC0016,086018,2023,04,12,9.3
IDCJAC0016,086018,2023,04,13,12.9
IDCJAC0016,086018,2023,04,14,13.8
IDCJAC0016,086018,2023,04,15,6.4
IDCJAC0016,086018,2023,04,16,6.1
IDCJAC0016,086018,2023,04,17,8.7
IDCJAC0016,086018,2023,04,18,12.4
IDCJAC0016,086018,2023,04,19,9.8
IDCJAC0016,086018,2023,04,20,13.4
IDCJAC0016,086018,2023,04,21,8.9
IDCJAC0016,086018,2023,04,22,9.6
IDCJAC0016,086018,2023,04,23,9.3
IDCJAC0016,086018,2023,04,24,13.4
IDCJAC0016,086018,2023,04,25,12.6
IDCJAC0016,086018,2023,04,26,12.9
IDCJAC0016,086018,2023,04,27,5.9
IDCJAC0016,086018,2023,04,28,8.2
IDCJAC0016,086018,2023,04,29,11.8
IDCJAC0016,086018,2023,04,30,12.5
IDCJAC0016,086018,2023,05,01,10.0
IDCJAC0016,086018,2023,05,02,7.5
IDCJAC0016,086018,2023,05,03,8.5
IDCJAC0016,086018,2023,05,04,8.5
IDCJAC0016,086018,2023,05,05,10.1
IDCJAC0016,086018,2023,05,06,6.8
IDCJAC0016,086018,2023,05,07,9.6
IDCJAC0016,086018,2023,05,08,7.8
IDCJAC0016,086018,2023,05,09,5.9
IDCJAC0016,086018,2023,05,10,5.3
IDCJAC0016,086018,2023,05,11,11.2
IDCJAC0016,086018,2023,05,12,9.9
IDCJAC0016,086018,2023,05,13,10.0
IDCJAC0016,086018,2023,05,14,11.0
IDCJAC0016,086018,2023,05,15,10.9
IDCJAC0016,086018,2023,05,16,5.8
IDCJAC0016,086018,2023,05,17,10.4
IDCJAC0016,086018,2023,05,18,8.4
IDCJAC0016,086018,2023,05,19,8.7
IDCJAC0016,086018,2023,05,20,7.9
IDCJAC0016,086018,2023,05,21,7.2
IDCJAC0016,086018,2023,05,22,9.0
IDCJAC0016,086018,2023,05,23,9.4
IDCJAC0016,086018,2023,05,24,10.0
IDCJAC0016,086018,2023,05,25,4.5
IDCJAC0016,086018,2023,05,26,9.1
IDCJAC0016,086018,2023,05,27,7.4
IDCJAC0016,086018,2023,05,28,5.3
IDCJAC0016,086018,2023,05,29,7.3
IDCJAC0016,086018,2023,05,30,6.6
IDCJAC0016,086018,2023,05,31,4.5
IDCJAC0016,086018,2023,06,01,9.4
IDCJAC0016,086018,2023,06,02,9.0
IDCJAC0016,086018,2023,06,03,5.1
IDCJAC0016,086018,2023,06,04,8.8
IDCJAC0016,086018,2023,06,05,8.5
IDCJAC0016,086018,2023,06,06,6.0
