File Name,Number of Rows,Number of Columns,Date of Max Exposure,Date of Min Exposure,Mean Exposure,Median Exposure,Month/Year with lowest mean exposure,Month/Year with highest mean exposure,Month/Year with lowest median exposure,Month/Year with highest median exposure,Month/Year with most consistent exposure
Avalon_2023_Data.csv,366,6,23/12/2023,25/2/2023,4.159285,3.555556,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,23/12/2023,25/2/2023,4.159285,3.555556,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,23/12/2023,25/2/2023,4.159285,3.555556,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,366,6,23/12/2023,25/2/2023,4.100000,3.722222,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,23/12/2023,25/2/2023,4.159285,3.555556,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,23/12/2023,25/2/2023,4.159285,3.555556,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,4.159285,3.555556,2.056414,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,4.159285,3.555556,2.056414,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,366,6,4.100000,3.722222,2.079018,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,366,6,4.159285,3.555556,2.056414,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_All_Years_Data.csv,12189,6,4.166872,3.611111,2.317743,64.465048%,06/1995,01/2009,06/1995,01/2009,06/2022
Avalon_2023_Data.csv,366,6,4.159285,3.555556,2.056414,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,366,6,4.100000,3.722222,2.079018,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_All_Years_Data.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
Avalon_All_Years_Data.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
Avalon_All_Years_Data.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_All_Years_Data.csv,362,6,4.558172,4.055556,2.574516,61.218837%,06/2006,12/2006,06/2006,01/2006,06/2006
Avalon_All_Years_Data.csv,358,6,4.329676,3.944444,2.380084,62.464986%,06/2002,12/2002,06/2002,12/2002,07/2002
Avalon_All_Years_Data.csv,364,6,4.222911,3.666667,2.148500,64.187328%,06/2017,01/2017,06/2017,01/2017,06/2017
Avalon_All_Years_Data.csv,343,6,4.144737,3.736111,2.401213,61.695906%,05/1997,12/1997,05/1997,01/1997,07/1997
Avalon_All_Years_Data.csv,2062,6,4.184660,3.694444,2.416910,63.512858%,06/1995,12/2000,06/1995,12/1996,07/1997
Avalon_All_Years_Data.csv,297,6,4.325075,3.722222,2.396839,62.837838%,06/1990,01/1990,06/1990,01/1990,06/1990
IDCJAC0016_014163_1800_Data.csv,338,6,5.805968,5.861111,1.263973,74.183976%,02/1992,03/1992,06/1992,11/1992,06/1992
data_files/1.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/2.csv,366,6,1.154744,0.987654,0.570416,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/3.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/4.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
data_files/5.csv,366,6,1.138783,1.033951,0.578037,65.479452%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/6.csv,12183,6,4.153487,3.583333,2.390737,64.028895%,06/1995,01/2009,05/1997,01/2009,06/2022
data_files/1.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/2.csv,366,6,1.154744,0.987654,0.570416,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/3.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/4.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
data_files/5.csv,366,6,1.138783,1.033951,0.578037,65.479452%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/6.csv,12183,6,4.153487,3.583333,2.390737,64.028895%,06/1995,01/2009,05/1997,01/2009,06/2022
Avalon_2023_Data.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
Avalon_2023_Data.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/1.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/2.csv,366,6,1.154744,0.987654,0.570416,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/3.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/4.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
data_files/5.csv,366,6,1.138783,1.033951,0.578037,65.479452%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/6.csv,12183,6,4.153487,3.583333,2.390737,64.028895%,06/1995,01/2009,05/1997,01/2009,06/2022
Avalon_All_Years_Data.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
Avalon_All_Years_Data.csv,345,6,4.186047,3.736111,2.343589,66.569767%,06/1999,12/1999,06/1999,01/1999,07/1999
Caulfeild_Racecourse_All_Years_Data.csv,2105,6,4.174166,3.611111,2.454191,62.927757%,06/2004,01/2003,06/2003,12/2000,06/2000
data_files/1.csv,365,6,4.149954,3.541667,2.051507,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/2.csv,366,6,1.154744,0.987654,0.570416,65.205479%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/3.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
data_files/4.csv,12188,6,4.166455,3.611111,2.317381,64.470337%,06/1995,01/2009,06/1995,01/2009,06/2022
data_files/5.csv,366,6,1.138783,1.033951,0.578037,65.479452%,06/2023,01/2023,06/2023,01/2023,06/2023
Caulfeild_Racecourse_2023_Data.csv,365,6,4.089591,3.722222,2.072352,65.384615%,06/2023,01/2023,06/2023,01/2023,06/2023
